,candidate,Senate_votes,total_votes,Biden_votes,senatePRC,bidenPRC,difference
"Kansas, Seward County",Barbara Bollier,1725,5002,1736,34.48620552,34.70611755,0.219912035
"Kansas, Sheridan County",Barbara Bollier,170,1389,144,12.23902088,10.36717063,-1.871850252
"Kansas, Sherman County",Barbara Bollier,408,2646,386,15.41950113,14.58805745,-0.831443689
"Kansas, Smith County",Barbara Bollier,358,2086,328,17.1620326,15.72387344,-1.438159156
"Kansas, Stafford County",Barbara Bollier,378,2010,355,18.80597015,17.66169154,-1.144278607
"Kansas, Stanton County",Barbara Bollier,140,755,147,18.54304636,19.47019868,0.927152318
"Kansas, Stevens County",Barbara Bollier,267,1974,233,13.52583587,11.80344478,-1.722391084
"Kansas, Sumner County",Barbara Bollier,2795,10766,2551,25.96135984,23.69496563,-2.266394204
"Kansas, Thomas County",Barbara Bollier,686,3771,622,18.19146115,16.49429859,-1.697162556
"Kansas, Trego County",Barbara Bollier,290,1591,238,18.22752986,14.95914519,-3.268384664
"Kansas, Wabaunsee County",Barbara Bollier,1023,3844,956,26.61290323,24.86992716,-1.742976067
"Kansas, Wallace County",Barbara Bollier,53,810,44,6.543209877,5.432098765,-1.111111111
"Kansas, Washington County",Barbara Bollier,501,2838,467,17.65327696,16.45525018,-1.198026779
"Kansas, Wichita County",Barbara Bollier,152,955,147,15.91623037,15.39267016,-0.523560209
"Kansas, Wilson County",Barbara Bollier,845,3900,711,21.66666667,18.23076923,-3.435897436
"Kansas, Woodson County",Barbara Bollier,341,1489,283,22.90127602,19.00604433,-3.895231699
"Kentucky, Adair County",Amy McGrath,1623,8724,1392,18.60385144,15.95598349,-2.64786795
"Kentucky, Allen County",Amy McGrath,1919,9301,1642,20.63219009,17.6540157,-2.97817439
"Kentucky, Anderson County",Amy McGrath,3663,13235,3348,27.67661504,25.29656215,-2.38005289
"Kentucky, Ballard County",Amy McGrath,936,4227,825,22.14336409,19.51738822,-2.625975869
"Kentucky, Barren County",Amy McGrath,5600,20022,5127,27.96923384,25.60683248,-2.362401359
"Kentucky, Bath County",Amy McGrath,1827,5610,1573,32.56684492,28.03921569,-4.527629234
"Kentucky, Bell County",Amy McGrath,2159,9947,1789,21.70503669,17.98532221,-3.719714487
"Kentucky, Boone County",Amy McGrath,22450,66957,20901,33.52898129,31.21555625,-2.313425034
"Kentucky, Bourbon County",Amy McGrath,3477,9648,3296,36.03855721,34.16252073,-1.876036484
"Kentucky, Boyd County",Amy McGrath,7915,21755,7083,36.38244082,32.55803264,-3.824408182
"Kentucky, Boyle County",Amy McGrath,5445,14466,5298,37.63998341,36.62380755,-1.016175861
"Kentucky, Bracken County",Amy McGrath,987,4232,800,23.32230624,18.90359168,-4.418714556
"Kentucky, Breathitt County",Amy McGrath,1652,5613,1301,29.43167647,23.17833601,-6.25334046
"Kentucky, Breckinridge County",Amy McGrath,2764,10199,2350,27.10069615,23.04147465,-4.059221492
"Kentucky, Bullitt County",Amy McGrath,11896,41882,10552,28.40361014,25.19459434,-3.209015806
"Kentucky, Butler County",Amy McGrath,1239,6123,1079,20.23517883,17.62208068,-2.613098154
"Kentucky, Caldwell County",Amy McGrath,1675,6425,1433,26.07003891,22.30350195,-3.766536965
"Kentucky, Calloway County",Amy McGrath,6180,17479,5797,35.35671377,33.1655129,-2.19120087
"Kentucky, Campbell County",Amy McGrath,20600,48882,19374,42.14230187,39.63422119,-2.508080684
"Kentucky, Carlisle County",Amy McGrath,541,2642,463,20.47691143,17.52460257,-2.952308857
"Kentucky, Carroll County",Amy McGrath,1299,4115,1116,31.56743621,27.12029162,-4.447144593
"Kentucky, Carter County",Amy McGrath,3253,11548,2642,28.16937998,22.87842051,-5.290959474
"Kentucky, Casey County",Amy McGrath,1027,7152,918,14.35961969,12.83557047,-1.524049217
"Kentucky, Christian County",Amy McGrath,9130,23790,8296,38.37746953,34.87179487,-3.505674653
"Kentucky, Clark County",Amy McGrath,6312,18128,6004,34.81906443,33.1200353,-1.699029126
"Kentucky, Clay County",Amy McGrath,1016,7568,831,13.42494715,10.98044397,-2.444503171
"Kentucky, Clinton County",Amy McGrath,729,4902,603,14.87148103,12.30110159,-2.570379437
"Kentucky, Crittenden County",Amy McGrath,869,4236,731,20.51463645,17.25684608,-3.257790368
"Kentucky, Cumberland County",Amy McGrath,610,3277,508,18.61458651,15.50198352,-3.112602991
"Kentucky, Daviess County",Amy McGrath,18383,49289,17286,37.29635416,35.07070543,-2.225648725
"Kentucky, Edmonson County",Amy McGrath,1383,6123,1227,22.58696717,20.03919647,-2.547770701
"Kentucky, Elliott County",Amy McGrath,868,2966,712,29.26500337,24.00539447,-5.259608901
"Kentucky, Estill County",Amy McGrath,1515,6537,1355,23.1757687,20.72816277,-2.447605935
"Kentucky, Fleming County",Amy McGrath,1743,7039,1474,24.76204006,20.9404745,-3.821565563
"Kentucky, Floyd County",Amy McGrath,4924,16284,3884,30.2382707,23.85163351,-6.38663719
"Kentucky, Fulton County",Amy McGrath,810,2408,794,33.63787375,32.97342193,-0.664451827
"Kentucky, Gallatin County",Amy McGrath,974,3844,822,25.33818939,21.38397503,-3.95421436
"Kentucky, Garrard County",Amy McGrath,1959,8693,1830,22.53537329,21.05142068,-1.483952606
"Kentucky, Grant County",Amy McGrath,2544,11082,2205,22.9561451,19.89713048,-3.059014618
"Kentucky, Graves County",Amy McGrath,3938,16962,3560,23.21660182,20.98809103,-2.228510789
"Kentucky, Grayson County",Amy McGrath,2633,11962,2400,22.01136934,20.06353453,-1.94783481
"Kentucky, Green County",Amy McGrath,1169,5892,920,19.84046164,15.6143924,-4.226069246
"Kentucky, Greenup County",Amy McGrath,5673,18136,4873,31.28032642,26.86921041,-4.411116012
"Kentucky, Hancock County",Amy McGrath,1580,4578,1351,34.51288772,29.51070336,-5.00218436
"Kentucky, Hardin County",Amy McGrath,19221,48949,18101,39.26740076,36.97930499,-2.288095773
"Kentucky, Harlan County",Amy McGrath,1892,10922,1494,17.32283465,13.6788134,-3.644021242
"Kentucky, Harrison County",Amy McGrath,2565,8844,2400,29.0027137,27.13704206,-1.865671642
"Kentucky, Hart County",Amy McGrath,2123,8348,1908,25.43124102,22.85577384,-2.575467178
"Kentucky, Henderson County",Amy McGrath,8256,20683,7639,39.91683992,36.93371368,-2.983126239
"Kentucky, Henry County",Amy McGrath,2431,8092,2142,30.04201681,26.47058824,-3.571428571
"Kentucky, Hickman County",Amy McGrath,512,2192,458,23.35766423,20.89416058,-2.46350365
"Kentucky, Hopkins County",Amy McGrath,6066,21468,5439,28.25600894,25.3353829,-2.920626048
"Kentucky, Jackson County",Amy McGrath,689,6094,605,11.30620282,9.927797834,-1.378404989
"Kentucky, Jessamine County",Amy McGrath,8861,26326,8567,33.65874041,32.54197371,-1.116766695
"Kentucky, Johnson County",Amy McGrath,1865,10160,1608,18.35629921,15.82677165,-2.529527559
"Kentucky, Kenton County",Amy McGrath,34455,82185,32271,41.92370871,39.26628947,-2.657419237
"Kentucky, Knott County",Amy McGrath,1664,6200,1412,26.83870968,22.77419355,-4.064516129
"Kentucky, Knox County",Amy McGrath,2413,13240,2114,18.22507553,15.96676737,-2.258308157
"Kentucky, Larue County",Amy McGrath,1747,7291,1504,23.96104787,20.62817172,-3.332876149
"Kentucky, Laurel County",Amy McGrath,4882,28136,4475,17.35143588,15.90489053,-1.446545351
"Kentucky, Lawrence County",Amy McGrath,1520,6922,1238,21.9589714,17.88500433,-4.073967062
"Kentucky, Lee County",Amy McGrath,520,2564,481,20.28081123,18.75975039,-1.521060842
"Kentucky, Leslie County",Amy McGrath,562,4792,446,11.7278798,9.307178631,-2.420701169
"Kentucky, Letcher County",Amy McGrath,2245,9077,1799,24.73284125,19.81932357,-4.913517682
"Kentucky, Lewis County",Amy McGrath,991,5857,823,16.91992488,14.05156223,-2.868362643
"Kentucky, Lincoln County",Amy McGrath,2521,10893,2254,23.14330304,20.69218764,-2.451115395
"Kentucky, Livingston County",Amy McGrath,1110,4997,939,22.213328,18.79127476,-3.422053232
"Kentucky, Logan County",Amy McGrath,3503,12323,3094,28.42651952,25.10752252,-3.318996997
"Kentucky, Lyon County",Amy McGrath,1204,4229,1092,28.47008749,25.82170726,-2.648380232
"Kentucky, Madison County",Amy McGrath,16267,44015,15581,36.95785528,35.39929569,-1.558559582
"Kentucky, Magoffin County",Amy McGrath,1392,5426,1214,25.65425728,22.37375599,-3.28050129
"Kentucky, Marion County",Amy McGrath,3144,8892,2722,35.35762483,30.61178587,-4.745838956
"Kentucky, Marshall County",Amy McGrath,4532,17607,4071,25.73976259,23.12148577,-2.618276822
"Kentucky, Martin County",Amy McGrath,497,3925,403,12.66242038,10.26751592,-2.394904459
"Kentucky, Mason County",Amy McGrath,2601,7929,2362,32.80363224,29.78938075,-3.014251482
"Kentucky, McCracken County",Amy McGrath,11623,33557,11195,34.63658849,33.36114671,-1.275441786
"Kentucky, McCreary County",Amy McGrath,889,6390,725,13.91236307,11.3458529,-2.566510172
"Kentucky, McLean County",Amy McGrath,1241,4775,1074,25.9895288,22.4921466,-3.497382199
"Kentucky, Meade County",Amy McGrath,4225,14065,3632,30.03910416,25.82296481,-4.216139353
"Kentucky, Menifee County",Amy McGrath,882,3076,750,28.67360208,24.38231469,-4.291287386
"Kentucky, Mercer County",Amy McGrath,3247,11704,3033,27.74265208,25.91421736,-1.828434723
"Kentucky, Metcalfe County",Amy McGrath,1129,4969,975,22.72086939,19.62165426,-3.099215134
"Kentucky, Monroe County",Amy McGrath,763,5274,657,14.46719757,12.45733788,-2.009859689
"Kentucky, Montgomery County",Amy McGrath,3983,12816,3630,31.07833958,28.32397004,-2.754369538
"Kentucky, Morgan County",Amy McGrath,1375,5518,1175,24.91844871,21.29394708,-3.624501631
"Kentucky, Muhlenberg County",Amy McGrath,4174,14158,3545,29.48156519,25.03884729,-4.442717898
"Kentucky, Nelson County",Amy McGrath,7943,23204,7188,34.23116704,30.97741769,-3.253749354
"Kentucky, Nicholas County",Amy McGrath,1087,3388,955,32.08382527,28.18772137,-3.896103896
"Kentucky, Ohio County",Amy McGrath,2765,11078,2404,24.95937895,21.70066799,-3.258710959
"Kentucky, Oldham County",Amy McGrath,14713,38066,14505,38.65128986,38.10487049,-0.546419377
"Kentucky, Owen County",Amy McGrath,1235,5446,1098,22.67719427,20.16158649,-2.515607786
"Kentucky, Owsley County",Amy McGrath,280,1876,216,14.92537313,11.51385928,-3.411513859
"Kentucky, Pendleton County",Amy McGrath,1570,6913,1322,22.71083466,19.12339071,-3.587443946
"Kentucky, Perry County",Amy McGrath,2781,10533,2356,26.40273426,22.36779645,-4.034937814
"Kentucky, Pike County",Amy McGrath,6013,25258,4866,23.80631879,19.26518331,-4.541135482
"Kentucky, Powell County",Amy McGrath,1591,5493,1367,28.96413617,24.88621882,-4.077917349
"Kentucky, Pulaski County",Amy McGrath,6118,31513,5666,19.41421001,17.97988132,-1.43432869
"Kentucky, Robertson County",Amy McGrath,288,1139,253,25.28533802,22.21246708,-3.072870939
"Kentucky, Rockcastle County",Amy McGrath,1225,7755,1134,15.79626048,14.62282398,-1.173436493
"Kentucky, Rowan County",Amy McGrath,4175,10042,3880,41.57538339,38.63772157,-2.93766182
"Kentucky, Russell County",Amy McGrath,1548,8916,1331,17.36204576,14.92821893,-2.433826828
"Kentucky, Scott County",Amy McGrath,11248,28967,10567,38.83039321,36.47944212,-2.350951082
"Kentucky, Shelby County",Amy McGrath,8332,23591,8077,35.31855369,34.237633,-1.08092069
"Kentucky, Simpson County",Amy McGrath,2976,8699,2681,34.21082883,30.81963444,-3.39119439
"Kentucky, Spencer County",Amy McGrath,2827,11407,2530,24.78302797,22.17936355,-2.603664417
"Kentucky, Taylor County",Amy McGrath,3277,12496,2963,26.22439181,23.71158771,-2.512804097
"Kentucky, Todd County",Amy McGrath,1460,5332,1205,27.38184546,22.59939985,-4.782445611
"Kentucky, Trigg County",Amy McGrath,2034,7368,1791,27.60586319,24.30781759,-3.298045603
"Kentucky, Trimble County",Amy McGrath,1183,4302,1012,27.49883775,23.52394235,-3.974895397
"Kentucky, Union County",Amy McGrath,1803,6553,1529,27.51411567,23.33282466,-4.181291012
"Kentucky, Warren County",Amy McGrath,23345,55430,22479,42.11618257,40.5538517,-1.562330868
"Kentucky, Washington County",Amy McGrath,1769,6193,1644,28.56450832,26.54610044,-2.01840788
"Kentucky, Wayne County",Amy McGrath,1978,9150,1700,21.61748634,18.57923497,-3.038251366
"Kentucky, Webster County",Amy McGrath,1600,5976,1412,26.77376171,23.62784471,-3.145917001
"Kentucky, Whitley County",Amy McGrath,2887,15298,2552,18.87174794,16.68191921,-2.189828736
"Kentucky, Wolfe County",Amy McGrath,943,2985,839,31.59128978,28.10720268,-3.484087102
"Kentucky, Woodford County",Amy McGrath,6612,15249,6530,43.36022034,42.82248016,-0.53774018
"Louisiana, Acadia Parish",Adrian Perkins,2243,27499,5443,8.156660242,19.79344703,11.63678679
"Louisiana, Allen Parish",Adrian Perkins,483,9423,2108,5.125756129,22.37079486,17.24503874
"Louisiana, Ascension Parish",Adrian Perkins,8539,60627,20399,14.08448381,33.64672506,19.56224125
"Louisiana, Assumption Parish",Adrian Perkins,1452,10602,3833,13.69552915,36.15355593,22.45802679
"Louisiana, Avoyelles Parish",Adrian Perkins,1551,16313,4979,9.507754552,30.52166983,21.01391528
"Louisiana, Beauregard Parish",Adrian Perkins,607,15755,2542,3.85274516,16.13456046,12.2818153
"Louisiana, Bienville Parish",Adrian Perkins,2068,6814,3067,30.34928089,45.01027297,14.66099208
"Louisiana, Bossier Parish",Adrian Perkins,9834,53200,15662,18.48496241,29.43984962,10.95488722
"Louisiana, Caddo Parish",Adrian Perkins,36282,102046,55110,35.55455383,54.00505654,18.45050271
"Louisiana, Calcasieu Parish",Adrian Perkins,5910,80267,25982,7.362926234,32.3694669,25.00654067
"Louisiana, Caldwell Parish",Adrian Perkins,218,4586,745,4.753597907,16.24509376,11.49149586
"Louisiana, Cameron Parish",Adrian Perkins,70,3936,324,1.778455285,8.231707317,6.453252033
"Louisiana, Catahoula Parish",Adrian Perkins,539,4622,1269,11.66161835,27.45564691,15.79402856
"Louisiana, Claiborne Parish",Adrian Perkins,1605,6286,2731,25.53293032,43.44575247,17.91282214
"Louisiana, Concordia Parish",Adrian Perkins,1185,8252,3177,14.36015511,38.49975763,24.13960252
"Louisiana, De Soto Parish",Adrian Perkins,3744,14336,5457,26.11607143,38.06501116,11.94893973
"Louisiana, East Baton Rouge Parish",Adrian Perkins,58688,203954,115577,28.77511596,56.66817027,27.89305432
"Louisiana, East Carroll Parish",Adrian Perkins,703,2868,1900,24.51185495,66.24825662,41.73640167
"Louisiana, East Feliciana Parish",Adrian Perkins,1784,10097,4280,17.66861444,42.38882836,24.72021392
"Louisiana, Evangeline Parish",Adrian Perkins,1418,14375,4158,9.864347826,28.92521739,19.06086957
"Louisiana, Franklin Parish",Adrian Perkins,839,9307,2658,9.014720103,28.55914903,19.54442892
"Louisiana, Grant Parish",Adrian Perkins,316,9047,1157,3.492870565,12.78876976,9.295899193
"Louisiana, Iberia Parish",Adrian Perkins,4294,31180,11027,13.77164849,35.36561899,21.59397049
"Louisiana, Iberville Parish",Adrian Perkins,3490,15818,8514,22.06347199,53.82475661,31.76128461
"Louisiana, Jackson Parish",Adrian Perkins,989,7406,2143,13.35403727,28.93599784,15.58196057
"Louisiana, Jefferson Davis Parish",Adrian Perkins,1184,14359,3208,8.245699561,22.34138868,14.09568911
"Louisiana, Jefferson Parish",Adrian Perkins,37965,185983,84477,20.41315604,45.4218934,25.00873736
"Louisiana, Lafayette Parish",Adrian Perkins,17762,111505,39685,15.92933052,35.59033227,19.66100175
"Louisiana, Lafourche Parish",Adrian Perkins,2869,43702,8672,6.564916937,19.84348542,13.27856849
"Louisiana, LaSalle Parish",Adrian Perkins,190,6845,638,2.775748722,9.320672023,6.544923302
"Louisiana, Lincoln Parish",Adrian Perkins,3052,18656,7559,16.3593482,40.51779588,24.15844768
"Louisiana, Livingston Parish",Adrian Perkins,3748,63764,9249,5.877924848,14.50504987,8.627125024
"Louisiana, Madison Parish",Adrian Perkins,929,4441,2654,20.918712,59.76131502,38.84260302
"Louisiana, Morehouse Parish",Adrian Perkins,1844,10932,4946,16.86791072,45.24332236,28.37541164
"Louisiana, Natchitoches Parish",Adrian Perkins,3605,15985,6896,22.55239287,43.14044417,20.5880513
"Louisiana, Ouachita Parish",Adrian Perkins,10353,66726,25913,15.51569103,38.83493691,23.31924587
"Louisiana, Plaquemines Parish",Adrian Perkins,1259,10648,3414,11.82381668,32.06235913,20.23854245
"Louisiana, Pointe Coupee Parish",Adrian Perkins,1916,11762,4683,16.28974664,39.81465737,23.52491073
"Louisiana, Rapides Parish",Adrian Perkins,6544,56648,19475,11.55204067,34.3789719,22.82693122
"Louisiana, Red River Parish",Adrian Perkins,1194,3995,1644,29.8873592,41.1514393,11.2640801
"Louisiana, Richland Parish",Adrian Perkins,1043,9424,3225,11.06748727,34.22113752,23.15365025
"Louisiana, Sabine Parish",Adrian Perkins,987,10180,1731,9.695481336,17.00392927,7.308447937
"Louisiana, St. Bernard Parish",Adrian Perkins,1992,16859,6151,11.81564743,36.48496352,24.66931609
"Louisiana, St. Charles Parish",Adrian Perkins,3687,27462,9800,13.42582478,35.68567475,22.25984997
"Louisiana, St. Helena Parish",Adrian Perkins,1386,5809,3346,23.85952832,57.60027543,33.74074712
"Louisiana, St. James Parish",Adrian Perkins,2753,11882,6510,23.16950008,54.7887561,31.61925602
"Louisiana, St. John the Baptist Parish",Adrian Perkins,4815,20295,13582,23.72505543,66.92288741,43.19783198
"Louisiana, St. Landry Parish",Adrian Perkins,7083,38917,17372,18.20027237,44.63858982,26.43831744
"Louisiana, St. Martin Parish",Adrian Perkins,3252,25861,8439,12.57491976,32.6321488,20.05722903
"Louisiana, St. Mary Parish",Adrian Perkins,3606,22203,8055,16.24104851,36.27888123,20.03783273
"Louisiana, St. Tammany Parish",Adrian Perkins,15777,136953,37746,11.52001051,27.56128015,16.04126963
"Louisiana, Tangipahoa Parish",Adrian Perkins,7842,55831,18887,14.04596013,33.82887643,19.7829163
"Louisiana, Tensas Parish",Adrian Perkins,329,2404,1329,13.68552413,55.2828619,41.59733777
"Louisiana, Terrebonne Parish",Adrian Perkins,4255,44421,11198,9.578802818,25.20879764,15.62999482
"Louisiana, Union Parish",Adrian Perkins,949,10712,2654,8.859223301,24.7759522,15.9167289
"Louisiana, Vermilion Parish",Adrian Perkins,1828,26181,5009,6.982162637,19.1321951,12.15003247
"Louisiana, Vernon Parish",Adrian Perkins,794,16569,2898,4.792081598,17.4904943,12.6984127
"Louisiana, Washington Parish",Adrian Perkins,2386,18858,5970,12.65245519,31.65765192,19.00519673
"Louisiana, Webster Parish",Adrian Perkins,4079,17652,6172,23.10786313,34.9648765,11.85701337
"Louisiana, West Baton Rouge Parish",Adrian Perkins,2827,13711,6200,20.61848151,45.21916709,24.60068558
"Louisiana, West Carroll Parish",Adrian Perkins,274,4831,710,5.671703581,14.69675016,9.025046574
"Louisiana, West Feliciana Parish",Adrian Perkins,1017,6084,2298,16.71597633,37.77120316,21.05522682
"Louisiana, Winn Parish",Adrian Perkins,560,5942,1543,9.424436217,25.96768765,16.54325143
"Louisiana, Acadia Parish",Antoine Pierce,285,27499,5443,1.036401324,19.79344703,18.75704571
"Louisiana, Allen Parish",Antoine Pierce,143,9423,2108,1.517563409,22.37079486,20.85323145
"Louisiana, Ascension Parish",Antoine Pierce,1327,60627,20399,2.188793772,33.64672506,31.45793128
"Louisiana, Assumption Parish",Antoine Pierce,167,10602,3833,1.575174495,36.15355593,34.57838144
"Louisiana, Avoyelles Parish",Antoine Pierce,232,16313,4979,1.422178631,30.52166983,29.0994912
"Louisiana, Beauregard Parish",Antoine Pierce,225,15755,2542,1.428118058,16.13456046,14.7064424
"Louisiana, Bienville Parish",Antoine Pierce,95,6814,3067,1.394188436,45.01027297,43.61608453
"Louisiana, Bossier Parish",Antoine Pierce,613,53200,15662,1.152255639,29.43984962,28.28759398
"Louisiana, Caddo Parish",Antoine Pierce,2912,102046,55110,2.853615036,54.00505654,51.15144151
"Louisiana, Calcasieu Parish",Antoine Pierce,2033,80267,25982,2.532796791,32.3694669,29.83667011
"Louisiana, Caldwell Parish",Antoine Pierce,50,4586,745,1.090274749,16.24509376,15.15481901
"Louisiana, Cameron Parish",Antoine Pierce,17,3936,324,0.431910569,8.231707317,7.799796748
"Louisiana, Catahoula Parish",Antoine Pierce,65,4622,1269,1.406317611,27.45564691,26.04932929
"Louisiana, Claiborne Parish",Antoine Pierce,86,6286,2731,1.368119631,43.44575247,42.07763283
"Louisiana, Concordia Parish",Antoine Pierce,100,8252,3177,1.211827436,38.49975763,37.2879302
"Louisiana, De Soto Parish",Antoine Pierce,128,14336,5457,0.892857143,38.06501116,37.17215402
"Louisiana, East Baton Rouge Parish",Antoine Pierce,8540,203954,115577,4.187218687,56.66817027,52.48095159
"Louisiana, East Carroll Parish",Antoine Pierce,79,2868,1900,2.754532775,66.24825662,63.49372385
"Louisiana, East Feliciana Parish",Antoine Pierce,196,10097,4280,1.941170645,42.38882836,40.44765772
"Louisiana, Evangeline Parish",Antoine Pierce,162,14375,4158,1.126956522,28.92521739,27.79826087
"Louisiana, Franklin Parish",Antoine Pierce,271,9307,2658,2.911786827,28.55914903,25.6473622
"Louisiana, Grant Parish",Antoine Pierce,55,9047,1157,0.607936332,12.78876976,12.18083343
"Louisiana, Iberia Parish",Antoine Pierce,885,31180,11027,2.838357922,35.36561899,32.52726106
"Louisiana, Iberville Parish",Antoine Pierce,654,15818,8514,4.134530282,53.82475661,49.69022632
"Louisiana, Jackson Parish",Antoine Pierce,97,7406,2143,1.309748852,28.93599784,27.62624899
"Louisiana, Jefferson Davis Parish",Antoine Pierce,182,14359,3208,1.267497737,22.34138868,21.07389094
"Louisiana, Jefferson Parish",Antoine Pierce,4564,185983,84477,2.45398773,45.4218934,42.96790567
"Louisiana, Lafayette Parish",Antoine Pierce,3372,111505,39685,3.024079638,35.59033227,32.56625263
"Louisiana, Lafourche Parish",Antoine Pierce,576,43702,8672,1.318017482,19.84348542,18.52546794
"Louisiana, LaSalle Parish",Antoine Pierce,31,6845,638,0.452885318,9.320672023,8.867786706
"Louisiana, Lincoln Parish",Antoine Pierce,591,18656,7559,3.167881647,40.51779588,37.34991424
"Louisiana, Livingston Parish",Antoine Pierce,605,63764,9249,0.948811241,14.50504987,13.55623863
"Louisiana, Madison Parish",Antoine Pierce,159,4441,2654,3.580274713,59.76131502,56.18104031
"Louisiana, Morehouse Parish",Antoine Pierce,268,10932,4946,2.451518478,45.24332236,42.79180388
"Louisiana, Natchitoches Parish",Antoine Pierce,284,15985,6896,1.776665624,43.14044417,41.36377854
"Louisiana, Orleans Parish",Antoine Pierce,11720,167935,147854,6.978890642,88.04239736,81.06350671
"Louisiana, Ouachita Parish",Antoine Pierce,1737,66726,25913,2.603183167,38.83493691,36.23175374
"Louisiana, Plaquemines Parish",Antoine Pierce,202,10648,3414,1.897069872,32.06235913,30.16528926
"Louisiana, Pointe Coupee Parish",Antoine Pierce,257,11762,4683,2.185002551,39.81465737,37.62965482
"Louisiana, Rapides Parish",Antoine Pierce,1205,56648,19475,2.127171303,34.3789719,32.25180059
"Louisiana, Red River Parish",Antoine Pierce,43,3995,1644,1.076345432,41.1514393,40.07509387
"Louisiana, Richland Parish",Antoine Pierce,169,9424,3225,1.793293718,34.22113752,32.4278438
"Louisiana, Sabine Parish",Antoine Pierce,69,10180,1731,0.677799607,17.00392927,16.32612967
"Louisiana, St. Bernard Parish",Antoine Pierce,434,16859,6151,2.574292663,36.48496352,33.91067086
"Louisiana, St. Charles Parish",Antoine Pierce,616,27462,9800,2.243099556,35.68567475,33.44257519
"Louisiana, St. Helena Parish",Antoine Pierce,122,5809,3346,2.100189361,57.60027543,55.50008607
"Louisiana, St. James Parish",Antoine Pierce,310,11882,6510,2.608988386,54.7887561,52.17976772
"Louisiana, St. John the Baptist Parish",Antoine Pierce,773,20295,13582,3.808819906,66.92288741,63.1140675
"Louisiana, St. Landry Parish",Antoine Pierce,962,38917,17372,2.471927435,44.63858982,42.16666238
"Louisiana, St. Martin Parish",Antoine Pierce,610,25861,8439,2.358764162,32.6321488,30.27338463
"Louisiana, St. Mary Parish",Antoine Pierce,621,22203,8055,2.796919335,36.27888123,33.4819619
"Louisiana, St. Tammany Parish",Antoine Pierce,2525,136953,37746,1.843698203,27.56128015,25.71758194
"Louisiana, Tangipahoa Parish",Antoine Pierce,822,55831,18887,1.472300335,33.82887643,32.3565761
"Louisiana, Tensas Parish",Antoine Pierce,92,2404,1329,3.826955075,55.2828619,51.45590682
"Louisiana, Terrebonne Parish",Antoine Pierce,700,44421,11198,1.575831251,25.20879764,23.63296639
"Louisiana, Union Parish",Antoine Pierce,137,10712,2654,1.278939507,24.7759522,23.4970127
"Louisiana, Vermilion Parish",Antoine Pierce,312,26181,5009,1.191703907,19.1321951,17.9404912
"Louisiana, Vernon Parish",Antoine Pierce,200,16569,2898,1.20707345,17.4904943,16.28342085
"Louisiana, Washington Parish",Antoine Pierce,267,18858,5970,1.415844734,31.65765192,30.24180719
"Louisiana, Webster Parish",Antoine Pierce,162,17652,6172,0.917743032,34.9648765,34.04713347
"Louisiana, West Baton Rouge Parish",Antoine Pierce,384,13711,6200,2.800670994,45.21916709,42.4184961
"Louisiana, West Carroll Parish",Antoine Pierce,24,4831,710,0.496791555,14.69675016,14.1999586
"Louisiana, West Feliciana Parish",Antoine Pierce,117,6084,2298,1.923076923,37.77120316,35.84812623
"Louisiana, Winn Parish",Antoine Pierce,69,5942,1543,1.161225177,25.96768765,24.80646247
"Louisiana, Acadia Parish",Derrick Edwards,1499,27499,5443,5.451107313,19.79344703,14.34233972
"Louisiana, Allen Parish",Derrick Edwards,926,9423,2108,9.827018996,22.37079486,12.54377587
"Louisiana, Ascension Parish",Derrick Edwards,6057,60627,20399,9.990598248,33.64672506,23.65612681
"Louisiana, Assumption Parish",Derrick Edwards,1340,10602,3833,12.63912469,36.15355593,23.51443124
"Louisiana, Avoyelles Parish",Derrick Edwards,1766,16313,4979,10.82572182,30.52166983,19.69594802
"Louisiana, Beauregard Parish",Derrick Edwards,992,15755,2542,6.296413837,16.13456046,9.83814662
"Louisiana, Bienville Parish",Derrick Edwards,517,6814,3067,7.587320223,45.01027297,37.42295274
"Louisiana, Bossier Parish",Derrick Edwards,2511,53200,15662,4.719924812,29.43984962,24.71992481
"Louisiana, Caddo Parish",Derrick Edwards,8590,102046,55110,8.417772377,54.00505654,45.58728417
"Louisiana, Calcasieu Parish",Derrick Edwards,11082,80267,25982,13.80642107,32.3694669,18.56304583
"Louisiana, Caldwell Parish",Derrick Edwards,268,4586,745,5.843872656,16.24509376,10.40122111
"Louisiana, Cameron Parish",Derrick Edwards,129,3936,324,3.277439024,8.231707317,4.954268293
"Louisiana, Catahoula Parish",Derrick Edwards,377,4622,1269,8.156642146,27.45564691,19.29900476
"Louisiana, Claiborne Parish",Derrick Edwards,499,6286,2731,7.938275533,43.44575247,35.50747693
"Louisiana, Concordia Parish",Derrick Edwards,1073,8252,3177,13.00290839,38.49975763,25.49684925
"Louisiana, De Soto Parish",Derrick Edwards,651,14336,5457,4.541015625,38.06501116,33.52399554
"Louisiana, East Baton Rouge Parish",Derrick Edwards,29504,203954,115577,14.46600704,56.66817027,42.20216323
"Louisiana, East Carroll Parish",Derrick Edwards,560,2868,1900,19.52580195,66.24825662,46.72245467
"Louisiana, East Feliciana Parish",Derrick Edwards,1296,10097,4280,12.83549569,42.38882836,29.55333267
"Louisiana, Evangeline Parish",Derrick Edwards,1307,14375,4158,9.092173913,28.92521739,19.83304348
